episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
6519.166864156723,6519.166864156723,6519.166864156723,65.0,1,1,22016,False,417,172,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-15-00,1608246900,65.61507797241211,7336.8449239730835,18508,DESKTOP-T1KLEOD,192.168.0.109,65.61507797241211,0,1,[6519.166864156723],[65],486.73048499942746,4.110340000123016,4.671128221260484,0.1239425452180611,63952.641,2.001,1648.047,77.668,8.001,22016,22016,28.970967741935485,52.21182795698925,0.0,0.2,0.0001,34861190.0,-0.2158621847629547,34861188.0,0.0,0.07730613276362419,2.142276883125305,0.0
17163.91706429422,6519.166864156723,12432.84509576857,65.0,2,1,22144,False,419,173,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-16-09,1608246969,69.05219006538391,7405.897114038467,18508,DESKTOP-T1KLEOD,192.168.0.109,134.66726803779602,0,2,"[13615.45135885477, 17163.91706429422, 6519.166864156723]","[64, 66, 65]",497.03430368119325,5.311255320344955,3.9553363555807564,0.137267300525009,65783.89,1.946,1534.284,83.427,9.001,22144,22144,32.388775510204084,52.518367346938774,0.0,0.30000000000000004,0.0001,158817984.0,-0.19106232561171055,158817984.0,5.9604645e-08,0.05594002082943916,1.7873375415802002,0.0
28660.18036402762,3047.4007120728493,13801.223272681236,64.8,2,1,22272,False,421,174,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-17-18,1608247038,69.10127305984497,7474.998387098312,18508,DESKTOP-T1KLEOD,192.168.0.109,203.768541097641,0,3,"[28660.18036402762, 3047.4007120728493, 6519.166864156723, 13615.45135885477, 17163.91706429422]","[63, 66, 65, 64, 66]",501.17450294465726,5.788619728533195,3.7618051228807183,0.13118627594647353,66422.343,1.927,1484.855,86.204,8.336,22272,22272,29.74183673469388,51.55918367346938,0.0,0.45000000000000007,0.0001,108654636.0,-0.19265427067875862,108654636.0,5.9604645e-08,0.04173598811030388,1.8783239126205444,0.0
34984.72579538822,3047.4007120728493,19815.78137354127,64.57142857142857,2,1,22400,False,423,175,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-18-28,1608247108,69.76299548149109,7544.7613825798035,18508,DESKTOP-T1KLEOD,192.168.0.109,273.5315365791321,0,4,"[34984.72579538822, 34719.62745599449, 6519.166864156723, 13615.45135885477, 17163.91706429422, 28660.18036402762, 3047.4007120728493]","[63, 65, 65, 64, 66, 63, 66]",504.13144623744523,6.088961350023863,3.6210685620242495,0.12711495270904843,66926.226,1.913,1441.892,88.772,8.0,22400,22400,32.36326530612244,51.64795918367347,0.0,0.675,0.0001,96066588.0,-0.15183938667178154,96066588.0,-1.7881393e-07,0.031356798484921455,2.0722501277923584,0.0
34984.72579538822,3047.4007120728493,18922.614947347385,64.55555555555556,2,1,22528,False,425,176,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-19-37,1608247177,68.94379544258118,7613.705178022385,18508,DESKTOP-T1KLEOD,192.168.0.109,342.47533202171326,0,5,"[15352.232829751447, 16240.832081586123, 6519.166864156723, 13615.45135885477, 17163.91706429422, 28660.18036402762, 3047.4007120728493, 34984.72579538822, 34719.62745599449]","[63, 66, 65, 64, 66, 63, 66, 63, 65]",506.0251689250029,6.286036674550508,3.518508091123121,0.1269391650496986,67049.441,1.909,1429.914,89.516,8.6,22528,22528,37.26326530612245,51.79285714285715,0.0,1.0125000000000002,0.0001,18690318.0,-0.19808275252580643,18690318.0,5.9604645e-08,0.03173747472465038,2.0981483459472656,0.0
34984.72579538822,2326.7179092764854,17110.40249775164,64.63636363636364,2,1,22656,False,427,177,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-20-46,1608247246,68.7280764579773,7682.433254480362,18508,DESKTOP-T1KLEOD,192.168.0.109,411.20340847969055,0,6,"[2326.7179092764854, 15584.175039865077, 6519.166864156723, 13615.45135885477, 17163.91706429422, 28660.18036402762, 3047.4007120728493, 34984.72579538822, 34719.62745599449, 15352.232829751447, 16240.832081586123]","[64, 66, 65, 64, 66, 63, 66, 63, 65, 63, 66]",507.3299127527553,6.425182537368161,3.442501884023711,0.12679124387791238,67104.091,1.907,1413.928,90.528,8.5,22656,22656,33.49896907216495,51.681443298969064,0.0,1.5187500000000003,0.0001,11063274.0,-0.17176728695631027,11063274.5,2.9802322e-08,0.025371139869093895,2.4885613918304443,0.0
34984.72579538822,1320.9994408488274,16606.556859286502,64.76923076923077,2,1,22784,False,429,178,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-21-54,1608247314,68.73754382133484,7751.170798301697,18508,DESKTOP-T1KLEOD,192.168.0.109,479.9409523010254,0,7,"[1320.9994408488274, 26349.812254607677, 6519.166864156723, 13615.45135885477, 17163.91706429422, 28660.18036402762, 3047.4007120728493, 34984.72579538822, 34719.62745599449, 15352.232829751447, 16240.832081586123, 2326.7179092764854, 15584.175039865077]","[64, 67, 65, 64, 66, 63, 66, 63, 65, 63, 66, 64, 66]",508.26093493269707,6.5548623535288755,3.382196815649822,0.12666449964685153,67135.973,1.907,1411.367,90.692,8.572,22784,22784,33.56494845360825,51.69896907216495,0.0,2.278125,0.0001,256954384.0,-0.16288290917873383,256954384.0,1.4901161e-07,0.017364525236189365,2.0704710483551025,0.0
44676.771896108985,1320.9994408488274,20145.876508589212,64.73333333333333,2,1,22912,False,431,179,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-23-04,1608247384,69.18514943122864,7820.355947732925,18508,DESKTOP-T1KLEOD,192.168.0.109,549.126101732254,0,8,"[41626.136562004685, 44676.771896108985, 6519.166864156723, 13615.45135885477, 17163.91706429422, 28660.18036402762, 3047.4007120728493, 34984.72579538822, 34719.62745599449, 15352.232829751447, 16240.832081586123, 2326.7179092764854, 15584.175039865077, 1320.9994408488274, 26349.812254607677]","[63, 66, 65, 64, 66, 63, 66, 63, 65, 63, 66, 64, 66, 64, 67]",509.03686001096514,6.658116484952176,3.3338803664306997,0.12629654719258826,67219.325,1.904,1405.947,91.042,8.375,22912,22912,35.62268041237113,51.739175257731965,0.0,2.278125,0.0001,110869272.0,-0.18697934597730637,110869272.0,2.9802322e-08,0.020835204049944878,2.1128076314926147,0.0
44676.771896108985,1320.9994408488274,19342.81392673414,64.82352941176471,2,1,23040,False,433,180,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-24-12,1608247452,68.40135765075684,7888.757305383682,18508,DESKTOP-T1KLEOD,192.168.0.109,617.5274593830109,0,9,"[19183.884820193052, 7455.804305449128, 6519.166864156723, 13615.45135885477, 17163.91706429422, 28660.18036402762, 3047.4007120728493, 34984.72579538822, 34719.62745599449, 15352.232829751447, 16240.832081586123, 2326.7179092764854, 15584.175039865077, 1320.9994408488274, 26349.812254607677, 41626.136562004685, 44676.771896108985]","[64, 67, 65, 64, 66, 63, 66, 63, 65, 63, 66, 64, 66, 64, 67, 63, 66]",509.61816868937615,6.740633596963054,3.294842925300393,0.12644235927179426,67201.054,1.905,1397.73,91.577,8.444,23040,23040,34.93917525773196,51.535051546391756,0.0,3.4171875000000003,0.0001,36976768.0,-0.14127966575324535,36976768.0,0.0,0.010796713642776012,2.14266699552536,0.0
44676.771896108985,1320.9994408488274,19446.556426996463,64.84210526315789,2,1,23168,False,435,181,1d820d3edb384151ae50ab6913f603b4,2020-12-17_15-25-21,1608247521,68.86302518844604,7957.620330572128,18508,DESKTOP-T1KLEOD,192.168.0.109,686.3904845714569,0,10,"[14826.394390752539, 25830.340967699885, 6519.166864156723, 13615.45135885477, 17163.91706429422, 28660.18036402762, 3047.4007120728493, 34984.72579538822, 34719.62745599449, 15352.232829751447, 16240.832081586123, 2326.7179092764854, 15584.175039865077, 1320.9994408488274, 26349.812254607677, 41626.136562004685, 44676.771896108985, 19183.884820193052, 7455.804305449128]","[64, 66, 65, 64, 66, 63, 66, 63, 65, 63, 66, 64, 66, 64, 67, 63, 66, 64, 67]",510.07839347332697,6.829524645225724,3.2618717128041315,0.12661249985833642,67223.278,1.904,1400.157,91.418,8.6,23168,23168,37.939795918367345,51.68877551020408,0.0,3.4171875000000003,0.0001,109195764.0,-0.1610780917108059,109195764.0,-2.9802322e-08,0.012611599639058113,1.9551970958709717,0.0
